type,问卷答案,Domain,text,answerFormat
现实型 (R),是/否,活动,我喜欢修理家用电器,BINARY
现实型 (R),是/否,活动,我喜欢修理自行车、汽车等,BINARY
现实型 (R),是/否,活动,我喜欢修理机械设备,BINARY
现实型 (R),是/否,活动,我喜欢制作手办或组装模型,BINARY
现实型 (R),是/否,活动,我喜欢操作无人机,BINARY
现实型 (R),是/否,活动,我喜欢使用机械设备、工具做加工,BINARY
现实型 (R),是/否,活动,我喜欢修理、改装汽车、摩托车等,BINARY
现实型 (R),是/否,活动,我喜欢手工课程、陶艺活动等,BINARY
现实型 (R),是/否,活动,我喜欢设备安装、调试,BINARY
现实型 (R),是/否,活动,我喜欢户外运动、建筑、园艺劳动,BINARY
现实型 (R),是/否,活动,我喜欢生产一线维修、维护,BINARY
研究型 (I),是/否,活动,我喜欢阅读科学书籍或杂志,BINARY
研究型 (I),是/否,活动,我喜欢在实验室工作,BINARY
研究型 (I),是/否,活动,我喜欢参与科学研究项目,BINARY
研究型 (I),是/否,活动,我喜欢制作火箭类科学航模,BINARY
研究型 (I),是/否,活动,我喜欢在实验室操作化学试剂或生物样本,BINARY
研究型 (I),是/否,活动,我喜欢自己阅读某些专题内容,BINARY
研究型 (I),是/否,活动,我喜欢解数学题或下棋类游戏,BINARY
研究型 (I),是/否,活动,我喜欢天文观测或地理勘探知识,BINARY
研究型 (I),是/否,活动,我喜欢编程、开发APP应用,BINARY
研究型 (I),是/否,活动,我喜欢设计算法优化路径等,BINARY
研究型 (I),是/否,活动,我喜欢解剖或制作、观察标本,BINARY
艺术型 (A),是/否,活动,我喜欢素描、绘画或作画,BINARY
艺术型 (A),是/否,活动,我喜欢观看戏剧、话剧、音乐剧演出,BINARY
艺术型 (A),是/否,活动,我喜欢设计家具或建筑,BINARY
艺术型 (A),是/否,活动,我喜欢在乐队、合唱团或管弦乐队中演奏,BINARY
艺术型 (A),是/否,活动,我喜欢玩乐器,BINARY
艺术型 (A),是/否,活动,我喜欢参加独奏会、音乐会或音乐剧,BINARY
艺术型 (A),是/否,活动,我喜欢策划艺展、演出等活动,BINARY
艺术型 (A),是/否,活动,我喜欢摄影,BINARY
艺术型 (A),是/否,活动,我喜欢写作剧本、小说等,BINARY
艺术型 (A),是/否,活动,我喜欢阅读或写作,BINARY
艺术型 (A),是/否,活动,我喜欢参加美术课程或活动,BINARY
社会型 (S),是/否,活动,我喜欢参与心理热线、心理疗愈活动,BINARY
社会型 (S),是/否,活动,我喜欢组织社区活动,BINARY
社会型 (S),是/否,活动,我喜欢加入各种社群、圈子,BINARY
社会型 (S),是/否,活动,我喜欢帮助他人解决个人问题,BINARY
社会型 (S),是/否,活动,我喜欢培训机构做老师,BINARY
社会型 (S),是/否,活动,我喜欢参加聚会,BINARY
社会型 (S),是/否,活动,我喜欢参与养老院、福利院的志愿服务,BINARY
社会型 (S),是/否,活动,我喜欢阅读心理学书籍,BINARY
社会型 (S),是/否,活动,我喜欢参加会议或研讨会,BINARY
社会型 (S),是/否,活动,我喜欢观看体育赛事,BINARY
社会型 (S),是/否,活动,我喜欢结交新朋友,BINARY
企业型 (E),是/否,活动,我喜欢领导他人,BINARY
企业型 (E),是/否,活动,我喜欢销售某种产品,BINARY
企业型 (E),是/否,活动,我喜欢分析市场趋势并制定策略,BINARY
企业型 (E),是/否,活动,我喜欢经营自己的服务或生意,BINARY
企业型 (E),是/否,活动,我喜欢在公开活动中说服他人,BINARY
企业型 (E),是/否,活动,我喜欢发表演讲,BINARY
企业型 (E),是/否,活动,我喜欢担任团体负责人,BINARY
企业型 (E),是/否,活动,我喜欢监督他人的工作,BINARY
企业型 (E),是/否,活动,我喜欢结识重要人物,BINARY
企业型 (E),是/否,活动,我喜欢带领团队完成某个目标,BINARY
企业型 (E),是/否,活动,我喜欢参与某些团体的竞选活动,BINARY
常规型 (C),是/否,活动,我喜欢保持书桌和房间整洁,BINARY
常规型 (C),是/否,活动,我喜欢按流程完成行政事务，如会议、会见等,BINARY
常规型 (C),是/否,活动,我喜欢使用表格处理财务、统计数据,BINARY
常规型 (C),是/否,活动,我喜欢使用ERP系统管理订单、库存、资金等,BINARY
常规型 (C),是/否,活动,我喜欢数据录入,BINARY
常规型 (C),是/否,活动,我喜欢体系管理,BINARY
常规型 (C),是/否,活动,我喜欢报销审核、审计或税务申报,BINARY
常规型 (C),是/否,活动,我喜欢制定并严格执行每日工作计划,BINARY
常规型 (C),是/否,活动,我喜欢学习财务知识,BINARY
常规型 (C),是/否,活动,我喜欢整理并归档文件、报告、纪要等,BINARY
